species_group,cover_type,dbh_cm,tally,stand_table,relative_frequency,bin_width_cm
auf,r,28.0,25.0,625.0,0.007352941176470588,2.0
auf,r,38.0,25.0,625.0,0.007352941176470588,2.0
boj,f,10.0,650.0,16250.0,0.052845528455284556,2.0
boj,f,12.0,500.0,12500.0,0.04065040650406504,2.0
boj,f,14.0,425.0,10625.0,0.034552845528455285,2.0
boj,f,16.0,375.0,9375.0,0.03048780487804878,2.0
boj,f,18.0,500.0,12500.0,0.04065040650406504,2.0
boj,f,20.0,425.0,10625.0,0.034552845528455285,2.0
boj,f,22.0,375.0,9375.0,0.03048780487804878,2.0
boj,f,24.0,275.0,6875.0,0.022357723577235773,2.0
boj,f,26.0,300.0,7500.0,0.024390243902439025,2.0
boj,f,28.0,200.0,5000.0,0.016260162601626018,2.0
boj,f,30.0,300.0,7500.0,0.024390243902439025,2.0
boj,f,32.0,125.0,3125.0,0.01016260162601626,2.0
boj,f,34.0,200.0,5000.0,0.016260162601626018,2.0
boj,f,36.0,225.0,5625.0,0.018292682926829267,2.0
boj,f,38.0,200.0,5000.0,0.016260162601626018,2.0
boj,f,40.0,150.0,3750.0,0.012195121951219513,2.0
boj,f,42.0,200.0,5000.0,0.016260162601626018,2.0
boj,f,44.0,225.0,5625.0,0.018292682926829267,2.0
boj,f,46.0,100.0,2500.0,0.008130081300813009,2.0
boj,f,48.0,175.0,4375.0,0.014227642276422764,2.0
boj,f,50.0,25.0,625.0,0.0020325203252032522,2.0
boj,f,52.0,50.0,1250.0,0.0040650406504065045,2.0
boj,f,56.0,50.0,1250.0,0.0040650406504065045,2.0
boj,f,58.0,50.0,1250.0,0.0040650406504065045,2.0
boj,f,60.0,50.0,1250.0,0.0040650406504065045,2.0
boj,m,10.0,1475.0,36875.0,0.05334538878842676,2.0
boj,m,12.0,1200.0,30000.0,0.0433996383363472,2.0
boj,m,14.0,1050.0,26250.0,0.0379746835443038,2.0
boj,m,16.0,1050.0,26250.0,0.0379746835443038,2.0
boj,m,18.0,925.0,23125.0,0.03345388788426763,2.0
boj,m,20.0,725.0,18125.0,0.026220614828209764,2.0
boj,m,22.0,725.0,18125.0,0.026220614828209764,2.0
boj,m,24.0,700.0,17500.0,0.02531645569620253,2.0
boj,m,26.0,725.0,18125.0,0.026220614828209764,2.0
boj,m,28.0,750.0,18750.0,0.027124773960216998,2.0
boj,m,30.0,350.0,8750.0,0.012658227848101266,2.0
boj,m,32.0,525.0,13125.0,0.0189873417721519,2.0
boj,m,34.0,600.0,15000.0,0.0216998191681736,2.0
boj,m,36.0,475.0,11875.0,0.017179023508137433,2.0
boj,m,38.0,375.0,9375.0,0.013562386980108499,2.0
boj,m,40.0,475.0,11875.0,0.017179023508137433,2.0
boj,m,42.0,300.0,7500.0,0.0108499095840868,2.0
boj,m,44.0,425.0,10625.0,0.015370705244122965,2.0
boj,m,46.0,350.0,8750.0,0.012658227848101266,2.0
boj,m,48.0,175.0,4375.0,0.006329113924050633,2.0
boj,m,50.0,100.0,2500.0,0.003616636528028933,2.0
boj,m,52.0,150.0,3750.0,0.0054249547920434,2.0
boj,m,54.0,75.0,1875.0,0.0027124773960217,2.0
boj,m,56.0,50.0,1250.0,0.0018083182640144665,2.0
boj,m,58.0,25.0,625.0,0.0009041591320072332,2.0
boj,m,60.0,50.0,1250.0,0.0018083182640144665,2.0
boj,r,10.0,150.0,3750.0,0.04,2.0
boj,r,12.0,250.0,6250.0,0.06666666666666667,2.0
boj,r,14.0,225.0,5625.0,0.06,2.0
boj,r,16.0,100.0,2500.0,0.02666666666666667,2.0
boj,r,18.0,175.0,4375.0,0.04666666666666667,2.0
boj,r,20.0,100.0,2500.0,0.02666666666666667,2.0
boj,r,22.0,175.0,4375.0,0.04666666666666667,2.0
boj,r,24.0,100.0,2500.0,0.02666666666666667,2.0
boj,r,26.0,100.0,2500.0,0.02666666666666667,2.0
boj,r,28.0,150.0,3750.0,0.04,2.0
boj,r,30.0,75.0,1875.0,0.02,2.0
boj,r,32.0,25.0,625.0,0.006666666666666667,2.0
boj,r,34.0,25.0,625.0,0.006666666666666667,2.0
boj,r,36.0,25.0,625.0,0.006666666666666667,2.0
boj,r,38.0,50.0,1250.0,0.013333333333333334,2.0
boj,r,40.0,25.0,625.0,0.006666666666666667,2.0
boj,r,44.0,50.0,1250.0,0.013333333333333334,2.0
boj,r,46.0,25.0,625.0,0.006666666666666667,2.0
boj,r,58.0,25.0,625.0,0.006666666666666667,2.0
boj,r,60.0,25.0,625.0,0.006666666666666667,2.0
bop,f,10.0,3275.0,81875.0,0.055649957519116396,2.0
bop,f,12.0,3400.0,85000.0,0.05777400169923534,2.0
bop,f,14.0,3725.0,93125.0,0.0632965165675446,2.0
bop,f,16.0,3475.0,86875.0,0.059048428207306713,2.0
bop,f,18.0,3475.0,86875.0,0.059048428207306713,2.0
bop,f,20.0,3025.0,75625.0,0.0514018691588785,2.0
bop,f,22.0,2375.0,59375.0,0.04035683942225998,2.0
bop,f,24.0,2075.0,51875.0,0.03525913338997451,2.0
bop,f,26.0,1075.0,26875.0,0.01826677994902294,2.0
bop,f,28.0,1100.0,27500.0,0.018691588785046728,2.0
bop,f,30.0,800.0,20000.0,0.013593882752761258,2.0
bop,f,32.0,575.0,14375.0,0.009770603228547154,2.0
bop,f,34.0,300.0,7500.0,0.005097706032285472,2.0
bop,f,36.0,450.0,11250.0,0.0076465590484282074,2.0
bop,f,38.0,25.0,625.0,0.0004248088360237893,2.0
bop,f,40.0,75.0,1875.0,0.001274426508071368,2.0
bop,f,42.0,75.0,1875.0,0.001274426508071368,2.0
bop,f,44.0,75.0,1875.0,0.001274426508071368,2.0
bop,f,48.0,25.0,625.0,0.0004248088360237893,2.0
bop,f,50.0,25.0,625.0,0.0004248088360237893,2.0
bop,m,10.0,6075.0,151875.0,0.07570093457943926,2.0
bop,m,12.0,5725.0,143125.0,0.07133956386292835,2.0
bop,m,14.0,5650.0,141250.0,0.07040498442367601,2.0
bop,m,16.0,4550.0,113750.0,0.05669781931464175,2.0
bop,m,18.0,4125.0,103125.0,0.0514018691588785,2.0
bop,m,20.0,3125.0,78125.0,0.03894080996884735,2.0
bop,m,22.0,3000.0,75000.0,0.037383177570093455,2.0
bop,m,24.0,2375.0,59375.0,0.029595015576323987,2.0
bop,m,26.0,1825.0,45625.0,0.022741433021806853,2.0
bop,m,28.0,1050.0,26250.0,0.013084112149532711,2.0
bop,m,30.0,575.0,14375.0,0.0071651090342679125,2.0
bop,m,32.0,600.0,15000.0,0.007476635514018692,2.0
bop,m,34.0,500.0,12500.0,0.006230529595015576,2.0
bop,m,36.0,425.0,10625.0,0.00529595015576324,2.0
bop,m,38.0,175.0,4375.0,0.0021806853582554517,2.0
bop,m,40.0,125.0,3125.0,0.001557632398753894,2.0
bop,m,46.0,25.0,625.0,0.00031152647975077883,2.0
bop,m,48.0,50.0,1250.0,0.0006230529595015577,2.0
bop,m,50.0,50.0,1250.0,0.0006230529595015577,2.0
bop,m,52.0,50.0,1250.0,0.0006230529595015577,2.0
bop,m,54.0,50.0,1250.0,0.0006230529595015577,2.0
bop,r,10.0,2150.0,53750.0,0.10997442455242967,2.0
bop,r,12.0,2100.0,52500.0,0.10741687979539642,2.0
bop,r,14.0,1200.0,30000.0,0.061381074168797956,2.0
bop,r,16.0,1000.0,25000.0,0.05115089514066496,2.0
bop,r,18.0,875.0,21875.0,0.04475703324808184,2.0
bop,r,20.0,650.0,16250.0,0.03324808184143223,2.0
bop,r,22.0,425.0,10625.0,0.021739130434782608,2.0
bop,r,24.0,500.0,12500.0,0.02557544757033248,2.0
bop,r,26.0,175.0,4375.0,0.008951406649616368,2.0
bop,r,28.0,250.0,6250.0,0.01278772378516624,2.0
bop,r,30.0,150.0,3750.0,0.0076726342710997444,2.0
bop,r,32.0,100.0,2500.0,0.005115089514066497,2.0
bop,r,34.0,50.0,1250.0,0.0025575447570332483,2.0
bop,r,36.0,50.0,1250.0,0.0025575447570332483,2.0
bop,r,38.0,75.0,1875.0,0.0038363171355498722,2.0
bop,r,46.0,25.0,625.0,0.0012787723785166241,2.0
chce,f,10.0,225.0,5625.0,0.02122641509433962,2.0
chce,f,12.0,125.0,3125.0,0.01179245283018868,2.0
chce,f,14.0,175.0,4375.0,0.01650943396226415,2.0
chce,f,16.0,325.0,8125.0,0.030660377358490566,2.0
chce,f,18.0,325.0,8125.0,0.030660377358490566,2.0
chce,f,20.0,450.0,11250.0,0.04245283018867924,2.0
chce,f,22.0,375.0,9375.0,0.03537735849056604,2.0
chce,f,24.0,575.0,14375.0,0.054245283018867926,2.0
chce,f,26.0,500.0,12500.0,0.04716981132075472,2.0
chce,f,28.0,600.0,15000.0,0.05660377358490566,2.0
chce,f,30.0,325.0,8125.0,0.030660377358490566,2.0
chce,f,32.0,250.0,6250.0,0.02358490566037736,2.0
chce,f,34.0,150.0,3750.0,0.014150943396226415,2.0
chce,f,36.0,225.0,5625.0,0.02122641509433962,2.0
chce,f,38.0,125.0,3125.0,0.01179245283018868,2.0
chce,f,40.0,100.0,2500.0,0.009433962264150943,2.0
chce,f,44.0,150.0,3750.0,0.014150943396226415,2.0
chce,f,46.0,75.0,1875.0,0.007075471698113208,2.0
chce,f,48.0,50.0,1250.0,0.0047169811320754715,2.0
chce,f,50.0,50.0,1250.0,0.0047169811320754715,2.0
chce,f,52.0,50.0,1250.0,0.0047169811320754715,2.0
chce,f,54.0,25.0,625.0,0.0023584905660377358,2.0
chce,f,56.0,25.0,625.0,0.0023584905660377358,2.0
chce,f,60.0,25.0,625.0,0.0023584905660377358,2.0
chce,m,10.0,200.0,5000.0,0.047058823529411764,2.0
chce,m,12.0,125.0,3125.0,0.029411764705882353,2.0
chce,m,14.0,200.0,5000.0,0.047058823529411764,2.0
chce,m,16.0,225.0,5625.0,0.052941176470588235,2.0
chce,m,18.0,100.0,2500.0,0.023529411764705882,2.0
chce,m,20.0,125.0,3125.0,0.029411764705882353,2.0
chce,m,22.0,75.0,1875.0,0.01764705882352941,2.0
chce,m,24.0,125.0,3125.0,0.029411764705882353,2.0
chce,m,26.0,125.0,3125.0,0.029411764705882353,2.0
chce,m,28.0,175.0,4375.0,0.041176470588235294,2.0
chce,m,30.0,100.0,2500.0,0.023529411764705882,2.0
chce,m,32.0,75.0,1875.0,0.01764705882352941,2.0
chce,m,34.0,100.0,2500.0,0.023529411764705882,2.0
chce,m,36.0,50.0,1250.0,0.011764705882352941,2.0
chce,m,38.0,125.0,3125.0,0.029411764705882353,2.0
chce,m,40.0,50.0,1250.0,0.011764705882352941,2.0
chce,m,42.0,25.0,625.0,0.0058823529411764705,2.0
chce,m,44.0,75.0,1875.0,0.01764705882352941,2.0
chce,m,46.0,50.0,1250.0,0.011764705882352941,2.0
chce,r,10.0,75.0,1875.0,0.16666666666666666,2.0
chce,r,16.0,25.0,625.0,0.05555555555555555,2.0
chce,r,18.0,25.0,625.0,0.05555555555555555,2.0
chce,r,20.0,50.0,1250.0,0.1111111111111111,2.0
chce,r,22.0,25.0,625.0,0.05555555555555555,2.0
chce,r,28.0,25.0,625.0,0.05555555555555555,2.0
ers,f,10.0,3500.0,87500.0,0.05426356589147287,2.0
ers,f,12.0,3375.0,84375.0,0.05232558139534884,2.0
ers,f,14.0,2900.0,72500.0,0.04496124031007752,2.0
ers,f,16.0,2900.0,72500.0,0.04496124031007752,2.0
ers,f,18.0,2775.0,69375.0,0.04302325581395349,2.0
ers,f,20.0,2175.0,54375.0,0.03372093023255814,2.0
ers,f,22.0,2125.0,53125.0,0.03294573643410853,2.0
ers,f,24.0,1675.0,41875.0,0.025968992248062015,2.0
ers,f,26.0,1675.0,41875.0,0.025968992248062015,2.0
ers,f,28.0,1500.0,37500.0,0.023255813953488372,2.0
ers,f,30.0,1350.0,33750.0,0.020930232558139535,2.0
ers,f,32.0,925.0,23125.0,0.01434108527131783,2.0
ers,f,34.0,875.0,21875.0,0.013565891472868217,2.0
ers,f,36.0,825.0,20625.0,0.012790697674418604,2.0
ers,f,38.0,700.0,17500.0,0.010852713178294573,2.0
ers,f,40.0,625.0,15625.0,0.009689922480620155,2.0
ers,f,42.0,475.0,11875.0,0.007364341085271318,2.0
ers,f,44.0,425.0,10625.0,0.006589147286821705,2.0
ers,f,46.0,400.0,10000.0,0.006201550387596899,2.0
ers,f,48.0,325.0,8125.0,0.0050387596899224806,2.0
ers,f,50.0,225.0,5625.0,0.0034883720930232558,2.0
ers,f,52.0,125.0,3125.0,0.001937984496124031,2.0
ers,f,54.0,75.0,1875.0,0.0011627906976744186,2.0
ers,f,56.0,150.0,3750.0,0.002325581395348837,2.0
ers,f,58.0,75.0,1875.0,0.0011627906976744186,2.0
ers,f,60.0,75.0,1875.0,0.0011627906976744186,2.0
ers,m,10.0,900.0,22500.0,0.04774535809018567,2.0
ers,m,12.0,850.0,21250.0,0.04509283819628647,2.0
ers,m,14.0,675.0,16875.0,0.03580901856763926,2.0
ers,m,16.0,825.0,20625.0,0.04376657824933687,2.0
ers,m,18.0,825.0,20625.0,0.04376657824933687,2.0
ers,m,20.0,725.0,18125.0,0.038461538461538464,2.0
ers,m,22.0,650.0,16250.0,0.034482758620689655,2.0
ers,m,24.0,625.0,15625.0,0.033156498673740056,2.0
ers,m,26.0,575.0,14375.0,0.03050397877984085,2.0
ers,m,28.0,525.0,13125.0,0.027851458885941646,2.0
ers,m,30.0,275.0,6875.0,0.014588859416445624,2.0
ers,m,32.0,475.0,11875.0,0.025198938992042442,2.0
ers,m,34.0,350.0,8750.0,0.01856763925729443,2.0
ers,m,36.0,400.0,10000.0,0.021220159151193633,2.0
ers,m,38.0,125.0,3125.0,0.006631299734748011,2.0
ers,m,40.0,200.0,5000.0,0.010610079575596816,2.0
ers,m,42.0,150.0,3750.0,0.007957559681697613,2.0
ers,m,44.0,100.0,2500.0,0.005305039787798408,2.0
ers,m,46.0,25.0,625.0,0.001326259946949602,2.0
ers,m,48.0,50.0,1250.0,0.002652519893899204,2.0
ers,m,52.0,50.0,1250.0,0.002652519893899204,2.0
ers,m,54.0,25.0,625.0,0.001326259946949602,2.0
ers,m,58.0,25.0,625.0,0.001326259946949602,2.0
ers,r,10.0,150.0,3750.0,0.15789473684210525,2.0
ers,r,12.0,150.0,3750.0,0.15789473684210525,2.0
ers,r,14.0,50.0,1250.0,0.05263157894736842,2.0
ers,r,18.0,75.0,1875.0,0.07894736842105263,2.0
ers,r,20.0,25.0,625.0,0.02631578947368421,2.0
ers,r,22.0,25.0,625.0,0.02631578947368421,2.0
erx,f,10.0,2325.0,58125.0,0.07013574660633484,2.0
erx,f,12.0,2275.0,56875.0,0.06862745098039216,2.0
erx,f,14.0,1575.0,39375.0,0.04751131221719457,2.0
erx,f,16.0,1850.0,46250.0,0.05580693815987934,2.0
erx,f,18.0,1900.0,47500.0,0.05731523378582202,2.0
erx,f,20.0,1550.0,38750.0,0.04675716440422323,2.0
erx,f,22.0,1000.0,25000.0,0.030165912518853696,2.0
erx,f,24.0,1025.0,25625.0,0.03092006033182504,2.0
erx,f,26.0,800.0,20000.0,0.024132730015082957,2.0
erx,f,28.0,675.0,16875.0,0.020361990950226245,2.0
erx,f,30.0,400.0,10000.0,0.012066365007541479,2.0
erx,f,32.0,350.0,8750.0,0.010558069381598794,2.0
erx,f,34.0,200.0,5000.0,0.006033182503770739,2.0
erx,f,36.0,275.0,6875.0,0.008295625942684766,2.0
erx,f,38.0,75.0,1875.0,0.0022624434389140274,2.0
erx,f,40.0,100.0,2500.0,0.0030165912518853697,2.0
erx,f,42.0,100.0,2500.0,0.0030165912518853697,2.0
erx,f,44.0,25.0,625.0,0.0007541478129713424,2.0
erx,f,48.0,25.0,625.0,0.0007541478129713424,2.0
erx,f,52.0,25.0,625.0,0.0007541478129713424,2.0
erx,f,56.0,25.0,625.0,0.0007541478129713424,2.0
erx,m,10.0,4175.0,104375.0,0.07753017641597029,2.0
erx,m,12.0,4025.0,100625.0,0.07474466109563603,2.0
erx,m,14.0,3900.0,97500.0,0.07242339832869081,2.0
erx,m,16.0,3350.0,83750.0,0.06220984215413185,2.0
erx,m,18.0,2975.0,74375.0,0.055246053853296194,2.0
erx,m,20.0,2375.0,59375.0,0.04410399257195915,2.0
erx,m,22.0,1475.0,36875.0,0.027390900649953576,2.0
erx,m,24.0,1225.0,30625.0,0.02274837511606314,2.0
erx,m,26.0,925.0,23125.0,0.017177344475394613,2.0
erx,m,28.0,700.0,17500.0,0.012999071494893221,2.0
erx,m,30.0,550.0,13750.0,0.01021355617455896,2.0
erx,m,32.0,350.0,8750.0,0.0064995357474466105,2.0
erx,m,34.0,200.0,5000.0,0.003714020427112349,2.0
erx,m,36.0,125.0,3125.0,0.002321262766945218,2.0
erx,m,38.0,125.0,3125.0,0.002321262766945218,2.0
erx,m,40.0,125.0,3125.0,0.002321262766945218,2.0
erx,m,42.0,100.0,2500.0,0.0018570102135561746,2.0
erx,m,44.0,50.0,1250.0,0.0009285051067780873,2.0
erx,m,46.0,75.0,1875.0,0.001392757660167131,2.0
erx,m,48.0,25.0,625.0,0.00046425255338904364,2.0
erx,m,52.0,25.0,625.0,0.00046425255338904364,2.0
erx,m,54.0,25.0,625.0,0.00046425255338904364,2.0
erx,m,56.0,25.0,625.0,0.00046425255338904364,2.0
erx,r,10.0,1250.0,31250.0,0.13440860215053763,2.0
erx,r,12.0,1075.0,26875.0,0.11559139784946236,2.0
erx,r,14.0,775.0,19375.0,0.08333333333333333,2.0
erx,r,16.0,400.0,10000.0,0.043010752688172046,2.0
erx,r,18.0,500.0,12500.0,0.053763440860215055,2.0
erx,r,20.0,175.0,4375.0,0.01881720430107527,2.0
erx,r,22.0,200.0,5000.0,0.021505376344086023,2.0
erx,r,24.0,75.0,1875.0,0.008064516129032258,2.0
erx,r,28.0,100.0,2500.0,0.010752688172043012,2.0
erx,r,34.0,25.0,625.0,0.002688172043010753,2.0
erx,r,40.0,25.0,625.0,0.002688172043010753,2.0
erx,r,42.0,50.0,1250.0,0.005376344086021506,2.0
peu,f,10.0,475.0,11875.0,0.025333333333333333,2.0
peu,f,12.0,275.0,6875.0,0.014666666666666666,2.0
peu,f,14.0,500.0,12500.0,0.02666666666666667,2.0
peu,f,16.0,500.0,12500.0,0.02666666666666667,2.0
peu,f,18.0,600.0,15000.0,0.032,2.0
peu,f,20.0,675.0,16875.0,0.036,2.0
peu,f,22.0,975.0,24375.0,0.052,2.0
peu,f,24.0,400.0,10000.0,0.021333333333333333,2.0
peu,f,26.0,400.0,10000.0,0.021333333333333333,2.0
peu,f,28.0,800.0,20000.0,0.042666666666666665,2.0
peu,f,30.0,650.0,16250.0,0.034666666666666665,2.0
peu,f,32.0,725.0,18125.0,0.03866666666666667,2.0
peu,f,34.0,500.0,12500.0,0.02666666666666667,2.0
peu,f,36.0,375.0,9375.0,0.02,2.0
peu,f,38.0,425.0,10625.0,0.02266666666666667,2.0
peu,f,40.0,300.0,7500.0,0.016,2.0
peu,f,42.0,275.0,6875.0,0.014666666666666666,2.0
peu,f,44.0,300.0,7500.0,0.016,2.0
peu,f,46.0,25.0,625.0,0.0013333333333333333,2.0
peu,f,48.0,50.0,1250.0,0.0026666666666666666,2.0
peu,f,50.0,50.0,1250.0,0.0026666666666666666,2.0
peu,f,56.0,25.0,625.0,0.0013333333333333333,2.0
peu,f,58.0,50.0,1250.0,0.0026666666666666666,2.0
peu,f,60.0,25.0,625.0,0.0013333333333333333,2.0
peu,m,10.0,425.0,10625.0,0.016409266409266408,2.0
peu,m,12.0,625.0,15625.0,0.02413127413127413,2.0
peu,m,14.0,750.0,18750.0,0.02895752895752896,2.0
peu,m,16.0,650.0,16250.0,0.025096525096525095,2.0
peu,m,18.0,875.0,21875.0,0.033783783783783786,2.0
peu,m,20.0,1375.0,34375.0,0.05308880308880309,2.0
peu,m,22.0,1025.0,25625.0,0.03957528957528957,2.0
peu,m,24.0,1250.0,31250.0,0.04826254826254826,2.0
peu,m,26.0,1100.0,27500.0,0.04247104247104247,2.0
peu,m,28.0,1050.0,26250.0,0.04054054054054054,2.0
peu,m,30.0,825.0,20625.0,0.03185328185328185,2.0
peu,m,32.0,700.0,17500.0,0.02702702702702703,2.0
peu,m,34.0,600.0,15000.0,0.023166023166023165,2.0
peu,m,36.0,525.0,13125.0,0.02027027027027027,2.0
peu,m,38.0,325.0,8125.0,0.012548262548262547,2.0
peu,m,40.0,300.0,7500.0,0.011583011583011582,2.0
peu,m,42.0,125.0,3125.0,0.004826254826254826,2.0
peu,m,44.0,125.0,3125.0,0.004826254826254826,2.0
peu,m,46.0,75.0,1875.0,0.0028957528957528956,2.0
peu,m,48.0,75.0,1875.0,0.0028957528957528956,2.0
peu,m,50.0,75.0,1875.0,0.0028957528957528956,2.0
peu,m,52.0,25.0,625.0,0.0009652509652509653,2.0
peu,m,54.0,25.0,625.0,0.0009652509652509653,2.0
peu,m,58.0,25.0,625.0,0.0009652509652509653,2.0
peu,r,10.0,75.0,1875.0,0.015789473684210527,2.0
peu,r,12.0,100.0,2500.0,0.021052631578947368,2.0
peu,r,14.0,225.0,5625.0,0.04736842105263158,2.0
peu,r,16.0,275.0,6875.0,0.05789473684210526,2.0
peu,r,18.0,225.0,5625.0,0.04736842105263158,2.0
peu,r,20.0,225.0,5625.0,0.04736842105263158,2.0
peu,r,22.0,150.0,3750.0,0.031578947368421054,2.0
peu,r,24.0,200.0,5000.0,0.042105263157894736,2.0
peu,r,26.0,100.0,2500.0,0.021052631578947368,2.0
peu,r,28.0,225.0,5625.0,0.04736842105263158,2.0
peu,r,30.0,100.0,2500.0,0.021052631578947368,2.0
peu,r,32.0,50.0,1250.0,0.010526315789473684,2.0
peu,r,34.0,100.0,2500.0,0.021052631578947368,2.0
peu,r,36.0,175.0,4375.0,0.03684210526315789,2.0
peu,r,38.0,50.0,1250.0,0.010526315789473684,2.0
peu,r,40.0,25.0,625.0,0.005263157894736842,2.0
peu,r,44.0,25.0,625.0,0.005263157894736842,2.0
peu,r,60.0,50.0,1250.0,0.010526315789473684,2.0
pib,f,10.0,325.0,8125.0,0.09420289855072464,2.0
pib,f,12.0,375.0,9375.0,0.10869565217391304,2.0
pib,f,14.0,200.0,5000.0,0.057971014492753624,2.0
pib,f,16.0,175.0,4375.0,0.050724637681159424,2.0
pib,f,18.0,125.0,3125.0,0.036231884057971016,2.0
pib,f,20.0,150.0,3750.0,0.043478260869565216,2.0
pib,f,22.0,75.0,1875.0,0.021739130434782608,2.0
pib,f,24.0,25.0,625.0,0.007246376811594203,2.0
pib,f,26.0,25.0,625.0,0.007246376811594203,2.0
pib,f,28.0,100.0,2500.0,0.028985507246376812,2.0
pib,f,32.0,25.0,625.0,0.007246376811594203,2.0
pib,f,34.0,50.0,1250.0,0.014492753623188406,2.0
pib,f,40.0,25.0,625.0,0.007246376811594203,2.0
pib,f,42.0,25.0,625.0,0.007246376811594203,2.0
pib,f,44.0,25.0,625.0,0.007246376811594203,2.0
pib,m,10.0,125.0,3125.0,0.026881720430107527,2.0
pib,m,12.0,175.0,4375.0,0.03763440860215054,2.0
pib,m,14.0,150.0,3750.0,0.03225806451612903,2.0
pib,m,16.0,100.0,2500.0,0.021505376344086023,2.0
pib,m,18.0,100.0,2500.0,0.021505376344086023,2.0
pib,m,20.0,25.0,625.0,0.005376344086021506,2.0
pib,m,22.0,50.0,1250.0,0.010752688172043012,2.0
pib,m,24.0,100.0,2500.0,0.021505376344086023,2.0
pib,m,26.0,25.0,625.0,0.005376344086021506,2.0
pib,m,28.0,100.0,2500.0,0.021505376344086023,2.0
pib,m,30.0,125.0,3125.0,0.026881720430107527,2.0
pib,m,32.0,75.0,1875.0,0.016129032258064516,2.0
pib,m,34.0,50.0,1250.0,0.010752688172043012,2.0
pib,m,36.0,25.0,625.0,0.005376344086021506,2.0
pib,m,38.0,75.0,1875.0,0.016129032258064516,2.0
pib,m,40.0,100.0,2500.0,0.021505376344086023,2.0
pib,m,42.0,75.0,1875.0,0.016129032258064516,2.0
pib,m,44.0,150.0,3750.0,0.03225806451612903,2.0
pib,m,46.0,75.0,1875.0,0.016129032258064516,2.0
pib,m,48.0,175.0,4375.0,0.03763440860215054,2.0
pib,m,50.0,150.0,3750.0,0.03225806451612903,2.0
pib,m,52.0,25.0,625.0,0.005376344086021506,2.0
pib,m,54.0,150.0,3750.0,0.03225806451612903,2.0
pib,m,56.0,75.0,1875.0,0.016129032258064516,2.0
pib,m,58.0,25.0,625.0,0.005376344086021506,2.0
pib,m,60.0,25.0,625.0,0.005376344086021506,2.0
pib,r,10.0,50.0,1250.0,0.007575757575757576,2.0
